rollout/success_rate,train/n_updates,time/episodes,train/ent_coef_loss,train/learning_rate,train/actor_loss,time/time_elapsed,train/ent_coef,train/critic_loss,time/fps,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward
0.0,2620,21504,-2.6405149936676025,0.0003,-7.9430193424224855,3155,0.4563089579343796,0.010431944113224744,1362,4300800,,,
0.0,2650,21760,-2.6736374616622927,0.0003,-7.966901063919067,3172,0.4522203266620636,0.00935765728354454,1371,4352000,,,
0.0,2680,22016,-2.6982799768447876,0.0003,-8.04567198753357,3189,0.44816839694976807,0.05083749378100037,1380,4403200,,,
0.0,2710,22272,-2.731639575958252,0.0003,-8.034219551086426,3205,0.44415460526943207,0.06902236035093665,1389,4454400,,,
0.0,2740,22528,-2.7585429191589355,0.0003,-8.048903560638427,3222,0.4401745140552521,0.048694358021020887,1398,4505600,,,
0.0,2780,22784,-2.8033080101013184,0.0003,-8.050673961639404,3238,0.43492974936962125,0.048834985308349135,1406,4556800,,,
0.0,2810,23040,-2.835139536857605,0.0003,-8.100189018249512,3255,0.431034517288208,0.04946794947609305,1415,4608000,,,
0.01,2840,23296,-2.8629148244857787,0.0003,-8.105747032165528,3272,0.4271719455718994,0.04778734147548676,1423,4659200,,,
0.02,2870,23552,-2.886819863319397,0.0003,-8.16835355758667,3288,0.42334486842155455,0.1402016862295568,1432,4710400,,,
0.0,2900,23808,-2.919284462928772,0.0003,-8.16097002029419,3305,0.41955533921718596,0.0698292737826705,1440,4761600,,,
0.0,2930,24064,-2.9519235134124755,0.0003,-8.18465223312378,3321,0.41580095887184143,0.13994330111891032,1448,4812800,,,
0.01,2960,24320,-2.9827372074127196,0.0003,-8.198641109466553,3338,0.41207594573497774,0.11226046094670891,1457,4864000,,,
0.0,2990,24576,-3.0065919160842896,0.0003,-8.256060791015624,3354,0.4083851009607315,0.23411840079352259,1465,4915200,,,
0.0,3030,24832,-3.057445788383484,0.0003,-8.290929985046386,3371,0.40351806581020355,0.15634383065626026,1473,4966400,,,
,3050,,-3.069995403289795,0.0003,-8.331726169586181,,0.40110489130020144,0.32491766959428786,,4999680,0.0,200.0,-47.33106548666954
