#{"t_start": 1782379674.2784123, "env_id": "None"}
r,l,t
-44.042187,200,586.688252
-56.297977,200,586.688252
-71.0981,200,586.688252
-60.579082,200,586.688252
-27.834854,200,586.688252
-35.2183,200,586.688252
-92.1478,200,586.688252
-19.066463,200,586.688252
-32.850346,200,586.688252
-54.207233,200,586.688252
-30.367426,200,586.688252
-24.501743,200,586.688252
-60.049797,200,586.688252
-28.195011,200,586.688252
-54.92776,200,586.688252
-36.278778,200,586.688252
-65.66483,200,586.688252
-51.566536,200,586.688252
-84.899734,200,586.688252
-33.659084,200,586.688252
-62.816303,200,586.688252
-31.943047,200,586.688252
-36.097763,200,586.688252
-62.29699,200,586.688252
-23.883774,200,586.688252
-21.969883,200,586.688252
-59.662163,200,586.688252
-27.350908,200,586.688252
-33.430466,200,586.688252
-38.79877,200,586.688252
-35.481705,200,586.688252
-79.12134,200,586.688252
-55.34409,200,586.688252
-39.807957,200,586.688252
-36.22907,200,586.688252
-48.977024,200,586.688252
-34.65946,200,586.688252
-31.173756,200,586.688252
-64.3458,200,586.688252
-28.761324,200,586.688252
-32.342693,200,586.688252
-46.64687,200,586.688252
-53.60291,200,586.688252
-45.615887,200,586.688252
-55.165188,200,586.688252
-45.800556,200,586.688252
-51.370724,200,586.688252
-73.916534,200,586.688252
-65.186844,200,586.688252
-62.25005,200,586.688252
-25.976486,200,586.688252
-47.168003,200,586.688252
-32.408016,200,586.688252
-22.026915,200,586.688252
-39.37578,200,586.688252
-92.56557,200,586.688252
-34.623398,200,586.688753
-24.087143,200,586.688753
-47.45166,200,586.688753
-35.863472,200,586.688753
-46.375965,200,586.688753
-33.529865,200,586.688753
-89.5341,200,586.688753
-31.447765,200,586.688753
-68.223694,200,604.462577
-55.539143,200,625.229854
-35.216427,200,673.79666
-74.52124,200,673.79666
-86.11696,200,673.79666
-37.518024,200,673.79666
-36.537277,200,673.79666
-30.650623,200,673.79666
-58.148315,200,673.79666
-57.256817,200,673.79666
-65.951645,200,673.79666
-31.84217,200,673.79666
-48.42888,200,673.79666
-33.547516,200,673.79666
-30.186728,200,673.79666
-31.38712,200,673.79666
-85.21902,200,673.79666
-28.13038,200,673.79666
-33.11424,200,673.79716
-32.316467,200,673.79716
-49.40297,200,673.79716
-18.99042,200,673.79716
-36.680283,200,673.79716
-33.444534,200,673.79716
-51.67755,200,673.79716
-67.25849,200,673.79716
-30.033186,200,673.79716
-48.24888,200,673.79716
-46.16909,200,673.79716
-42.541115,200,673.79716
-58.487614,200,673.79716
-37.0711,200,673.79716
-33.9928,200,673.79716
-44.945686,200,673.79716
-36.43616,200,673.79716
-25.009163,200,673.79716
-45.337326,200,673.79716
-34.67082,200,673.79716
-33.423267,200,673.79716
-65.30506,200,673.79716
-61.121956,200,673.79716
-39.389538,200,673.79716
-28.416254,200,673.79716
-52.652435,200,673.79716
-37.337746,200,673.79716
-70.838844,200,673.79716
-26.419563,200,673.79716
-21.908777,200,673.79716
-26.948853,200,673.79716
-60.956985,200,673.79716
-32.484833,200,673.79716
-82.55719,200,673.79716
-63.249386,200,673.79716
-28.638748,200,673.79716
-79.43108,200,673.79716
-32.93564,200,673.79716
-45.01503,200,673.79716
-52.495636,200,673.79716
-22.776201,200,673.79716
-49.56617,200,673.79716
-32.85068,200,673.79716
-27.356127,200,673.79716
-86.69968,200,673.79716
-24.027716,200,673.79716
-28.595562,200,673.79716
-70.52532,200,673.79716
-54.555195,200,673.79716
-65.62449,200,673.79716
-37.585762,200,673.79716
-26.300213,200,673.79716
-27.802645,200,673.79716
-30.857857,200,673.79716
-35.1287,200,673.79716
-34.448288,200,673.79716
-46.162575,200,673.79716
-43.11836,200,673.79716
-15.787132,200,673.79716
-75.6816,200,673.79716
-41.212982,200,673.79716
-60.332455,200,673.79716
-48.257713,200,673.79716
-61.120186,200,673.79716
-55.555943,200,673.79716
-76.45034,200,673.79716
-23.458502,200,673.79716
-63.570396,200,673.79716
-59.06722,200,673.79716
-28.075039,200,673.79716
-26.158241,200,673.79716
-40.823643,200,673.79716
-50.49166,200,673.79716
-48.295395,200,673.79716
-21.262707,200,673.79716
-72.76603,200,673.79716
-83.87555,200,673.79716
-36.80946,200,673.79716
-49.138794,200,673.79716
-29.330708,200,673.79716
-75.468895,200,673.79716
-75.05362,200,673.79716
-29.703272,200,673.79716
-43.023243,200,673.79716
-60.491695,200,673.79716
-45.817432,200,673.79716
-34.164303,200,673.79716
-46.20389,200,673.79716
-57.324883,200,673.79716
-39.621586,200,673.79716
-26.373606,200,673.79716
-65.95899,200,673.79716
-55.413822,200,673.79716
-34.88377,200,673.79716
-32.11915,200,673.79716
-74.16161,200,673.79716
-41.97545,200,673.79716
-26.572542,200,673.79716
-37.581226,200,673.79716
-33.83073,200,673.79716
-40.75526,200,673.79716
-53.894768,200,673.79716
-53.04644,200,673.79716
-37.402184,200,673.797666
-52.20163,200,673.797666
-47.769764,200,673.797666
-23.69919,200,673.797666
-30.458591,200,673.797666
-22.468473,200,673.797666
-53.123493,200,673.797666
-59.178772,200,692.652879
-2.949802,61,701.650676
-81.83815,200,714.403324
-15.170638,177,753.227082
-32.203384,200,763.374825
-39.003113,200,763.374825
-70.002785,200,763.374825
-63.196953,200,763.374825
-55.02692,200,763.374825
-31.146435,200,763.374825
-19.121748,200,763.374825
-70.16611,200,763.374825
-55.040443,200,763.374825
-55.209183,200,763.374825
-28.652056,200,763.374825
-38.341496,200,763.374825
-48.853836,200,763.374825
-62.046867,200,763.374825
-30.88257,200,763.374825
-51.56701,200,763.374825
-43.812424,200,763.374825
-29.352377,200,763.374825
-58.48187,200,763.374825
-26.022617,200,763.374825
-30.936975,200,763.374825
-66.68525,200,763.374825
-31.077734,200,763.374825
-50.55018,200,763.374825
-54.84983,200,763.374825
-44.285206,200,763.374825
-35.904152,200,763.374825
-26.324514,200,763.374825
-38.412354,200,763.374825
-47.58251,200,763.374825
-33.056114,200,763.374825
-30.568161,200,763.374825
-72.40664,200,763.374825
-27.590927,200,763.374825
-44.315483,200,763.374825
-40.228233,200,763.374825
-83.28222,200,763.374825
-36.449635,200,763.374825
-30.038298,200,763.374825
