train/value_loss,train/entropy_loss,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,time/total_timesteps,train/std,time/iterations,train/clip_fraction,train/approx_kl,train/clip_range,rollout/ep_len_mean,time/fps,train/learning_rate,train/loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
0.307310785347363,-2.410650605894625,0.9641420692205429,3795,-9.79710647,-0.0009470763579884078,910,753664,0.8145303726196289,92,0.18685302734375,0.019695047,0.2,100.0,198,0.00022545279999999998,0.2774176299571991,,,
0.5175741751736496,-2.4118046473711727,0.9234816581010818,3941,-10.744135309999999,-0.0015520707551331726,950,786432,0.8124711513519287,96,0.17059326171875,0.016845863,0.2,100.0,199,0.000222176,0.38704290986061096,,,
0.4742970275692642,-2.437787830643356,0.9422629438340664,,,-0.0023616100323124558,970,800000,0.8263300657272339,,0.184423828125,0.01624162,0.2,,,0.0002205376,0.0748162791132927,0.01,-9.7014482,100.0
0.4141974011727143,-2.45138492397964,0.899640254676342,4211,-10.207435890000001,-0.0028784784852177838,990,819200,0.825941801071167,100,0.19017333984375,0.016463296,0.2,100.0,194,0.00021889919999999998,0.14132462441921234,,,
0.5570272891607602,-2.480747936479747,0.8984955325722694,4361,-10.69872803,0.00011916098374058493,1030,851968,0.8397480845451355,104,0.2056396484375,0.017891128,0.2,100.0,195,0.00021562239999999998,0.4691760540008545,,,
0.8877356680459343,-2.4776120711117984,0.9181621968746185,4508,-9.98069275,-0.0032891888662561542,1070,884736,0.833990752696991,108,0.19056396484375,0.019433724,0.2,100.0,196,0.00021234559999999995,0.4817174971103668,,,
0.7808539981255308,-2.427468733675778,0.9078033417463303,4654,-9.887714480000001,-0.0023004224876785884,1110,917504,0.8258163928985596,112,0.18341064453125,0.019504178,0.2,100.0,197,0.00020906879999999997,0.6710585951805115,,,
0.7215668173041194,-2.4643366737291217,0.9087132588028908,4802,-9.62164517,-0.002831098673050292,1150,950272,0.8346137404441833,116,0.19302978515625,0.021420855,0.2,100.0,197,0.00020579199999999997,0.18387728929519653,,,
0.43572773184278046,-2.4886925311759116,0.9428310096263885,4948,-8.85019052,-0.0036806418582273183,1190,983040,0.8439512848854065,120,0.18404541015625,0.01745728,0.2,100.0,198,0.0002025152,0.11232743412256241,,,
0.5334805219667033,-2.4743335979059338,0.9219459816813469,,,-0.003465749550741748,1220,1000000,0.8373821973800659,,0.1871826171875,0.01764883,0.2,,,0.0002000576,0.12339277565479279,0.04,-9.24597189,100.0
0.47396217578207145,-2.4720276983454825,0.9141761660575867,5219,-9.940076490000001,-0.0037887311711529035,1230,1015808,0.834007978439331,124,0.17413330078125,0.016963582,0.2,100.0,194,0.0001992384,0.057584524154663086,,,
0.6643922057119198,-2.4990227051079272,0.857845276594162,5367,-8.774705289999998,-0.004190853050386067,1270,1048576,0.8464590907096863,128,0.18492431640625,0.017309982,0.2,100.0,195,0.00019596160000000002,0.9588746428489685,,,
0.28842334712971934,-2.5067458828911184,0.8719482868909836,5514,-9.56686859,-0.0031320022422733017,1310,1081344,0.8495956659317017,132,0.1606201171875,0.012974988,0.2,100.0,196,0.0001926848,0.008052345365285873,,,
0.7874213783827144,-2.5749901119619607,0.8726667165756226,5660,-9.861235480000001,-0.0035710041309357623,1350,1114112,0.8785768747329712,136,0.1524169921875,0.016447023,0.2,100.0,196,0.00018940799999999996,0.047784242779016495,,,
0.9270836884854361,-2.530421201325953,0.8217530697584152,5807,-9.34423932,-0.0035852875884302194,1390,1146880,0.8636966943740845,140,0.18756103515625,0.020097194,0.2,100.0,197,0.00018613119999999996,0.14934304356575012,,,
0.9659771198872477,-2.5870874321088193,0.8911623731255531,5955,-9.11905906,-0.0034298262726224493,1430,1179648,0.8859966993331909,144,0.1650634765625,0.019666974,0.2,100.0,198,0.00018285439999999998,0.32013046741485596,,,
1.283388671366265,-2.58911043331027,0.8890443369746208,,,-0.0027792043882072905,1460,1200000,0.8830932378768921,,0.1548583984375,0.016027622,0.2,,,0.0001803968,0.18916770815849304,0.01,-10.22160877,100.0
1.3957585556083358,-2.574237374402583,0.8942060023546219,6225,-10.372114949999999,-0.002641047161159804,1470,1212416,0.8728694319725037,148,0.16258544921875,0.017271683,0.2,100.0,194,0.00017957759999999998,0.25872963666915894,,,
0.36933046611957254,-2.57224268168211,0.927273340523243,6373,-10.1142087,-0.005317354912403971,1510,1245184,0.8758003115653992,152,0.16123046875,0.015123837,0.2,100.0,195,0.0001763008,0.07085012644529343,,,
0.48542047701776025,-2.59713399335742,0.8982392996549606,6521,-9.58492107,-0.003130846653948538,1550,1277952,0.8851966857910156,156,0.17498779296875,0.018226022,0.2,100.0,195,0.000173024,0.3400380611419678,,,
0.6905386621423532,-2.621487924642861,0.9227678179740906,6668,-10.280394739999998,-0.00310305178645649,1590,1310720,0.900622546672821,160,0.16890869140625,0.017116345,0.2,100.0,196,0.00016974719999999997,0.13449203968048096,,,
0.5799529225914739,-2.6002107916399835,0.9074736982584,6816,-9.49774732,-0.004505758307641372,1630,1343488,0.8888809680938721,164,0.163916015625,0.0170046,0.2,100.0,197,0.0001664704,0.3137879967689514,,,
0.31448436217615383,-2.569741217233241,0.931609258055687,6964,-8.95743817,-0.00631547124539793,1670,1376256,0.8724552392959595,168,0.17969970703125,0.016998783,0.2,100.0,197,0.00016319359999999997,0.02900034934282303,,,
0.41152236837660894,-2.5606068136170506,0.9125819653272629,,,-0.00193758479290409,1700,1400000,0.8695095181465149,,0.1528564453125,0.016693607,0.2,,,0.00016073599999999997,0.04250192269682884,0.02,-9.500298469999999,100.0
0.5039673763298197,-2.563241893798113,0.8853102698922157,7236,-9.0444361,-0.0032118533737957476,1710,1409024,0.8718539476394653,172,0.1615234375,0.015458326,0.2,100.0,194,0.00015991679999999997,0.048864416778087616,,,
1.0531894047686365,-2.5554026464000343,0.8685230165719986,7382,-8.669410240000001,-0.002068019871330762,1750,1441792,0.8695287108421326,176,0.17215576171875,0.016500864,0.2,100.0,195,0.00015664,0.10173111408948898,,,
0.5131780277268263,-2.530523880198598,0.9194124862551689,7530,-8.982159999999999,-0.00394514426443493,1790,1474560,0.8621574640274048,180,0.1396484375,0.013694342,0.2,100.0,195,0.0001533632,0.057240284979343414,,,
0.36545151223836003,-2.5407194091007113,0.9274377748370171,7679,-8.29626655,-0.005839908665802795,1830,1507328,0.861233651638031,184,0.162890625,0.0149926,0.2,100.0,196,0.00015008640000000001,0.10533370077610016,,,
0.2073263343394501,-2.5368730893358586,0.8834838345646858,7826,-8.447611610000001,-0.004230797391937813,1870,1540096,0.86087566614151,188,0.1599853515625,0.014850039,0.2,100.0,196,0.00014680959999999998,0.08649560809135437,,,
0.37307031961390746,-2.549449149146676,0.8471213579177856,7973,-8.748154030000002,-0.0067505285380320855,1910,1572864,0.866246223449707,192,0.17227783203125,0.016192101,0.2,100.0,197,0.00014353279999999998,0.05626406893134117,,,
0.36884338040836157,-2.5791672848165037,0.9190138578414917,,,-0.004953414053670713,1950,1600000,0.8814561367034912,,0.147607421875,0.016630739,0.2,,,0.000140256,0.12432502210140228,0.08,-8.39845857,100.0
,,,8245,-8.447095500000001,,,1605632,,196,,,,100.0,194,,,,,
0.8418639062729198,-2.6057530676946046,0.9047197252511978,8393,-8.207779169999998,-0.006457971606141655,1990,1638400,0.8933794498443604,200,0.14779052734375,0.015647393,0.2,100.0,195,0.00013697919999999998,0.09324213117361069,,,
