time/total_timesteps,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef_loss,rollout/success_rate,time/time_elapsed,train/ent_coef,time/fps,eval/mean_ep_length,eval/mean_reward,eval/success_rate
2918400,14592,45440,-42.011615097522736,235.37983453273773,0.0003,-0.6631880614440888,0.15,2160,0.03543993300991133,1351,,,
2969600,14848,46208,-42.378916189074516,137.16085240989923,0.0003,0.10222892230376601,0.15,2192,0.03251233254559338,1354,,,
3020800,15104,47040,-43.98257488012314,246.15674291551113,0.0003,0.34856759710237384,0.09,2218,0.03278564318316057,1361,,,
3072000,15360,47808,-45.62881898880005,267.1010416895151,0.0003,0.6606257224921137,0.14,2251,0.03579089883714914,1364,,,
3123200,15616,48640,-50.32419368624687,333.9341111332178,0.0003,0.043663638876751065,0.15,2286,0.035189875052310526,1365,,,
3174400,15872,49408,-51.22126251459122,272.9172818660736,0.0003,0.1744617037475109,0.13,2320,0.03667033411329612,1367,,,
3225600,16128,50240,-55.75940439105034,168.66913275420666,0.0003,-0.7530892825452611,0.12,2355,0.037850412947591394,1369,,,
3276800,16384,51008,-58.06060469150543,237.52116739749908,0.0003,0.4778320064069703,0.11,2390,0.040074307878967375,1370,,,
3328000,16640,51840,-59.506223142147064,299.59464624524117,0.0003,0.10477455134969205,0.12,2423,0.046281047514639795,1373,,,
3379200,16896,52608,-60.448148250579834,128.61470152437687,0.0003,-0.016072357422672212,0.11,2447,0.048794637026730925,1380,,,
3430400,17152,53440,-62.117591857910156,244.89166575670242,0.0003,0.5853267676429823,0.15,2471,0.0515718231908977,1387,,,
3481600,17408,54208,-64.58909869194031,178.13407661020756,0.0003,0.7929336884990335,0.1,2495,0.058944663032889366,1395,,,
