#{"t_start": 1782345158.6580584, "env_id": "None"}
r,l,t
-93.403496,200,156.199117
-56.676674,200,156.199117
-68.55783,200,156.199117
-63.45322,200,156.199117
-29.257671,200,156.199117
-40.203217,200,156.199117
-43.791927,200,156.199117
-89.09511,200,156.199117
-46.958378,200,156.199117
-31.349213,200,156.199117
-32.82662,200,156.199117
-37.802235,200,156.199117
-50.159725,200,156.199117
-44.79026,200,156.199117
-40.52963,200,156.199117
-41.30749,200,156.199117
-57.942196,200,156.199117
-44.91745,200,156.199117
-55.246246,200,156.199117
-63.01607,200,156.199117
-33.757576,200,156.199117
-57.752113,200,156.199117
-32.455914,200,156.199117
-44.33803,200,156.199117
-32.759617,200,156.199117
-50.34338,200,156.199117
-65.71586,200,156.199117
-38.664146,200,156.199117
-43.557537,200,156.199117
-86.3549,200,156.199117
-72.81608,200,156.199117
-44.58111,200,156.199117
-43.095284,200,156.199117
-40.51111,200,156.199117
-85.946495,200,156.199117
-60.085423,200,156.199117
-35.777313,200,156.199117
-30.36965,200,156.199117
-30.52291,200,156.199117
-53.165207,200,156.199117
-67.1891,200,156.199117
-55.283833,200,156.199117
-48.733337,200,156.199117
-53.229153,200,156.199117
-40.92016,200,156.199117
-38.534256,200,156.199117
-49.30984,200,156.199117
-35.328995,200,156.199117
-72.72221,200,156.199117
-67.74799,200,156.199117
-46.08666,200,156.199117
-33.454903,200,156.199117
-44.13114,200,156.199117
-46.847424,200,156.199616
-39.190544,200,156.199616
-39.296993,200,156.199616
-81.25115,200,156.199616
-25.795326,200,156.199616
-35.662132,200,156.199616
-54.51384,200,156.199616
-68.04927,200,156.199616
-34.711544,200,156.199616
-35.188927,200,156.199616
-86.12516,200,156.199616
-65.25799,200,156.199616
-36.131226,200,156.199616
-38.114075,200,156.199616
-30.998907,200,156.199616
-58.95112,200,156.199616
-70.78862,200,156.199616
-49.36884,200,156.199616
-45.85695,200,156.199616
-36.9456,200,156.199616
-46.849205,200,156.199616
-48.722378,200,156.199616
-38.650646,200,156.199616
-68.646194,200,156.199616
-41.631897,200,156.199616
-43.54601,200,156.199616
-32.20096,200,156.199616
-35.999302,200,156.199616
-57.08768,200,156.199616
-91.90952,200,156.199616
-42.9884,200,156.199616
-60.613625,200,156.199616
-77.3205,200,156.199616
-49.05026,200,156.199616
-58.40372,200,156.199616
-67.846504,200,156.199616
-41.60188,200,156.199616
-60.826077,200,156.199616
-69.54871,200,156.199616
-52.308258,200,156.199616
-33.685764,200,156.199616
-40.358345,200,156.199616
-62.13927,200,156.199616
-56.21153,200,156.199616
-35.041317,200,156.199616
-42.93986,200,156.199616
-41.85087,200,156.199616
-86.04355,200,156.199616
-51.46215,200,156.199616
-30.638119,200,156.199616
-59.778595,200,156.199616
-40.41066,200,156.199616
-42.356297,200,156.199616
-24.959661,200,156.199616
-45.91613,200,156.199616
-61.96262,200,156.199616
-45.947304,200,156.199616
-70.550354,200,156.199616
-30.452671,200,156.199616
-60.97559,200,156.199616
-76.22805,200,156.199616
-43.83244,200,156.199616
-46.407745,200,156.199616
-37.984055,200,156.199616
-80.63985,200,156.199616
-32.414986,200,156.199616
-39.4301,200,156.199616
-62.666546,200,156.199616
-41.802017,200,156.199616
-64.862076,200,156.199616
-55.630043,200,156.199616
-40.01637,200,156.199616
-56.278294,200,156.199616
-31.65358,200,156.199616
-48.048904,200,156.199616
-48.7537,200,156.199616
-66.041695,200,156.199616
-39.194904,200,156.199616
-52.278015,200,156.199616
-44.20724,200,156.199616
-53.747616,200,156.199616
-45.725742,200,156.199616
-64.939354,200,156.199616
-38.738323,200,156.199616
-51.82257,200,156.199616
-76.13011,200,156.199616
-59.862923,200,156.199616
-46.496082,200,156.199616
-34.785324,200,156.199616
-65.80293,200,156.199616
-70.76423,200,156.199616
-59.686333,200,156.199616
-38.566536,200,156.199616
-57.91958,200,156.199616
-52.628197,200,156.199616
-51.38946,200,156.199616
-87.25972,200,156.199616
-42.05329,200,156.200115
-57.232647,200,156.200115
-36.605717,200,156.200115
-60.011425,200,156.200115
-46.217155,200,156.200115
-33.922516,200,156.200115
-47.41723,200,156.200115
-42.31854,200,156.200115
-32.720543,200,156.200115
-82.93426,200,156.200115
-50.73964,200,156.200115
-40.64605,200,156.200115
-91.6135,200,156.200115
-71.98353,200,156.200115
-54.48326,200,156.200115
-40.37907,200,156.200115
-50.335533,200,156.200115
-31.714798,200,156.200115
-50.689293,200,156.200115
-64.96176,200,156.200115
-55.386948,200,156.200115
-41.683025,200,156.200115
-36.287884,200,156.200115
-77.18068,200,156.200115
-37.464764,200,156.200115
-77.35863,200,156.200115
-55.536625,200,156.200115
-46.154533,200,156.200115
-73.778915,200,156.200115
-93.55898,200,156.200115
-51.366783,200,156.200115
-65.90595,200,156.200115
-34.617798,200,156.200115
-69.16604,200,156.200115
-50.695114,200,156.200115
-52.049152,200,156.200115
-75.07854,200,156.200115
-55.72091,200,156.200115
-61.81974,200,156.200115
-51.61839,200,156.200115
-39.241642,200,156.200115
-44.457733,200,156.200115
-40.93689,200,156.200115
-37.27011,200,156.200115
-60.26998,200,156.200115
-48.589893,200,156.200115
-44.91744,200,156.200115
-64.685196,200,156.200115
-77.259514,200,156.200115
-66.11238,200,156.200115
-55.714607,200,156.200115
-78.80902,200,156.200115
-45.569828,200,156.200115
-49.59305,200,156.200115
-38.655403,200,156.200115
-47.166504,200,156.200115
-52.09125,200,156.200115
-42.082165,200,156.200115
-57.918602,200,156.200115
-93.79053,200,156.200115
-54.702477,200,156.200115
-27.300331,200,156.200115
-68.0822,200,156.200115
-71.7119,200,156.200115
-34.765144,200,156.200115
-40.97838,200,156.200115
-43.32694,200,156.200115
-36.021343,200,156.200115
-42.102314,200,156.200115
-60.1396,200,156.200115
-30.63961,200,156.200115
-38.16939,200,156.200115
-42.809578,200,156.200115
-33.930397,200,156.200115
-45.7133,200,156.200115
-36.42077,200,156.200115
-60.55898,200,156.200115
-85.47203,200,156.200115
-41.970722,200,156.200115
-42.733467,200,156.200115
-49.044254,200,156.200115
-59.1786,200,156.200115
-36.758385,200,156.200115
-73.86532,200,156.200115
-40.357334,200,156.200115
-51.97028,200,156.200115
-38.3895,200,156.200115
-79.66194,200,156.200115
-29.173216,200,156.200115
-72.81599,200,156.200115
-70.31174,200,156.200115
-47.71577,200,156.200115
-26.929487,200,156.200115
-80.67651,200,156.200115
-37.81313,200,156.200115
-34.224316,200,156.200115
-43.03963,200,156.200115
-68.348274,200,156.200115
-61.600727,200,156.200115
-53.354107,200,156.200115
-45.93466,200,156.200115
-36.369854,200,156.200115
-41.554417,200,156.200619
-66.052704,200,156.200619
-49.16054,200,156.200619
-56.97744,200,156.200619
-34.02723,200,156.200619
-85.58613,200,156.200619
-50.55832,200,156.200619
-51.331284,200,156.200619
-50.83214,200,156.200619
-48.37389,200,156.200619
-70.86516,200,156.200619
-46.082848,200,156.200619
-28.92283,200,156.200619
-27.5661,200,156.200619
-34.25588,200,156.200619
-66.54942,200,156.200619
-55.75665,200,156.200619
-62.777874,200,156.200619
-83.94756,200,156.200619
-48.366245,200,156.200619
-30.197319,200,156.200619
-39.183365,200,156.200619
-41.709656,200,156.200619
-89.50936,200,156.200619
-50.439445,200,156.200619
-50.107372,200,156.200619
-52.208435,200,156.200619
-47.232468,200,156.200619
-41.235855,200,156.200619
-41.380714,200,156.200619
-58.86378,200,156.200619
-45.566654,200,156.200619
-53.774845,200,156.200619
