time/iterations,rollout/ep_len_mean,train/explained_variance,train/learning_rate,train/clip_range,time/fps,train/n_updates,train/approx_kl,time/total_timesteps,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/std,time/time_elapsed,train/entropy_loss,train/loss,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
96,100.0,0.9994693033513613,0.000222176,0.2,192,950,0.010038005,786432,-16.57692435,-0.004352548757378827,0.01836038566834759,0.7627213001251221,4077,-2.273649570532143,-0.011197884567081928,0.092724609375,,,
,,0.9991638447390869,0.0002205376,0.2,,970,0.0075869057,800000,,-0.003175869028927991,0.023509694726089946,0.7674763202667236,,-2.29353766515851,-0.023544074967503548,0.086083984375,0.0,-15.487711119999997,100.0
100,100.0,0.9995166933804285,0.00021889919999999998,0.2,190,990,0.009708401,819200,-17.17282965,-0.0031453945419343656,0.019553074130089953,0.754892110824585,4304,-2.270580165460706,-0.007578982040286064,0.093212890625,,,
104,100.0,0.9991611337172799,0.00021562239999999998,0.2,191,1030,0.008547909,851968,-16.37556615,-0.0036382063404744257,0.025038119922101032,0.7535668611526489,4454,-2.2621317243203523,-0.03444227576255798,0.09246826171875,,,
108,100.0,0.9993700759951025,0.00021234559999999995,0.2,192,1070,0.007587928,884736,-17.119263750000002,-0.002410023464472033,0.020146112000657013,0.7727752923965454,4601,-2.303367144986987,-0.019190356135368347,0.08896484375,,,
,,0.9992646070895717,0.00021070719999999996,0.2,,1090,0.00671378,900000,,-0.0025797390873776747,0.027687251264433145,0.7648075819015503,,-2.2867516618222,0.024148428812623024,0.08326416015625,0.0,-15.9353241,100.0
112,100.0,0.9994267856818624,0.00020906879999999997,0.2,190,1110,0.008740926,917504,-16.619004930000003,-0.002648998001677683,0.01909710222898866,0.7541038393974304,4815,-2.255947598442435,0.00420122966170311,0.08917236328125,,,
116,100.0,0.9994393391534686,0.00020579199999999997,0.2,191,1150,0.009738727,950272,-15.61938797,-0.004549716704786988,0.019742519903957145,0.7699480652809143,4954,-2.286733418516815,-0.029913026839494705,0.10030517578125,,,
120,100.0,0.9994069223757833,0.0002025152,0.2,192,1190,0.007706908,983040,-16.95754757,-0.004055242043614271,0.02081351153901778,0.7623937726020813,5095,-2.274700595624745,-0.01812409609556198,0.0779296875,,,
,,0.9994747150922194,0.0002000576,0.2,,1220,0.007969143,1000000,,-0.003907242682907963,0.018835524895985147,0.7614433765411377,,-2.2648192308843136,-0.0314825177192688,0.08519287109375,0.0,-17.08519726,100.0
124,100.0,0.9993963848683052,0.0001992384,0.2,190,1230,0.008525133,1015808,-16.0959324,-0.0019184854438208277,0.020937208657414885,0.7592675685882568,5323,-2.2550034549087288,0.0006052497774362564,0.08974609375,,,
128,100.0,0.999375740182586,0.00019596160000000002,0.2,192,1270,0.008732628,1048576,-15.657146160000002,-0.003507069246916217,0.01964675422059372,0.7526556253433228,5459,-2.2401367558166383,-0.0017597414553165436,0.09276123046875,,,
132,100.0,0.9995227067556698,0.0001926848,0.2,192,1310,0.009135574,1081344,-15.897825569999998,-0.0053608264817739835,0.017526058894145536,0.7663439512252808,5603,-2.2696514301002026,-0.031535543501377106,0.09552001953125,,,
,,0.9994295561918989,0.0001902272,0.2,,1340,0.009056479,1100000,,-0.003913448449384305,0.016588474231684813,0.7637300491333008,,-2.2625402815639974,-0.028646256774663925,0.09735107421875,0.0,-15.88557139,100.0
136,100.0,0.9995060208020732,0.00018940799999999996,0.2,190,1350,0.009049781,1114112,-16.502182670000003,-0.004707401238556485,0.017352297356410418,0.7638288736343384,5833,-2.267913523502648,-0.022620825096964836,0.09451904296875,,,
140,100.0,0.9993783445679583,0.00018613119999999996,0.2,191,1390,0.008401727,1146880,-15.273382530000003,-0.0038489764589030528,0.017493733615992824,0.7803928256034851,5983,-2.301654427871108,-0.017319094389677048,0.0904052734375,,,
144,100.0,0.9988447130890563,0.00018285439999999998,0.2,192,1430,0.010630913,1179648,-16.079695840000003,-0.005104734678025124,0.021086765902145997,0.7670365571975708,6131,-2.285618755966425,0.042478084564208984,0.10062255859375,,,
,,0.9991170493885875,0.0001803968,0.2,,1460,0.010037795,1200000,,-0.005994385105805122,0.022859738473925972,0.7658131122589111,,-2.2615020694211125,-0.043876051902770996,0.1076904296875,0.02,-16.4599549,100.0
148,100.0,0.9993742590304464,0.00017957759999999998,0.2,190,1470,0.008579554,1212416,-16.46978887,-0.004904708838512306,0.018877547604643042,0.7642519474029541,6355,-2.2603855203837155,-0.021805211901664734,0.0955322265625,,,
152,100.0,0.999400706961751,0.0001763008,0.2,191,1510,0.008064018,1245184,-16.48433353,-0.005049628149208729,0.019603002921212465,0.7679553627967834,6496,-2.265713522024453,-0.04480639100074768,0.08846435546875,,,
156,100.0,0.9993655190337449,0.000173024,0.2,192,1550,0.008440809,1277952,-16.505842760000004,-0.004958020518461126,0.017687645804835485,0.7740137577056885,6648,-2.285759294964373,-0.021115045994520187,0.0864501953125,,,
,,0.9993930486380123,0.00017056639999999998,0.2,,1580,0.008090666,1300000,,-0.004807520585745806,0.01769234503590269,0.7680238485336304,,-2.2757013948634266,-0.012435286305844784,0.085693359375,0.0,-15.139444300000001,100.0
160,100.0,0.9991244513657875,0.00016974719999999997,0.2,190,1590,0.009414043,1310720,-14.856384830000001,-0.0051193461909861075,0.024865430685167667,0.7572110891342163,6865,-2.2585328865796326,-0.030695561319589615,0.095263671875,,,
164,100.0,0.9993705918313935,0.0001664704,0.2,192,1630,0.008930542,1343488,-17.03071334,-0.004856897377976566,0.017474591611971846,0.7602899670600891,6969,-2.2659105135127904,-0.02780836448073387,0.08665771484375,,,
168,100.0,0.999487444118131,0.00016319359999999997,0.2,193,1670,0.009040874,1376256,-16.937338010000005,-0.006472556062362855,0.017490479452681028,0.7529782652854919,7110,-2.232533258199692,-0.017205115407705307,0.094384765625,,,
,,0.9995101843960583,0.00016073599999999997,0.2,,1700,0.008854008,1400000,,-0.005363892686000326,0.016195910669557632,0.7470234036445618,,-2.2184104517102243,-0.022263502702116966,0.09227294921875,0.0,-15.654923499999997,100.0
