train/n_updates,train/ent_coef,time/time_elapsed,train/learning_rate,train/critic_loss,time/fps,train/actor_loss,rollout/success_rate,time/total_timesteps,train/ent_coef_loss,time/episodes,eval/mean_ep_length,eval/success_rate,eval/mean_reward
374192,0.0017614070238778368,7641,0.0003,0.013592015369795263,197,1.4805377125740051,0.91,1506816,-0.7228828892111778,15808,,,
374912,0.0017167088299174793,7655,0.0003,0.009359097195556387,197,1.4742915704846382,0.86,1509696,0.5087339370511472,15872,,,
375520,0.0017822847585193813,7667,0.0003,0.010179464588873088,197,1.450915202498436,0.89,1512128,-0.2646938553079963,15936,,,
376224,0.0017675273920758627,7681,0.0003,0.009630696382373571,197,1.4724546149373055,0.91,1514944,-0.3183035934343934,16000,,,
376816,0.0017754028813214973,7693,0.0003,0.008756474700930994,197,1.4737067222595215,0.92,1517312,-0.1859524780884385,16064,,,
377472,0.0018479249411029741,7706,0.0003,0.006627764450968243,197,1.4576807767152786,0.9,1519936,-0.09060781542211771,16128,,,
378080,0.001820280849642586,7718,0.0003,0.013302686733368319,197,1.4577892199158669,0.98,1522368,0.7896056156605482,16192,,,
378656,0.0017731683547026478,7729,0.0003,0.009102190400881227,197,1.4480913579463959,0.92,1524672,-0.03658687137067318,16256,,,
379296,0.001809575296647381,7742,0.0003,0.007630721702298615,197,1.4579475596547127,0.88,1527232,-0.3561497717164457,16320,,,
379888,0.00182637703983346,7753,0.0003,0.009062562719918787,197,1.434644415974617,0.92,1529600,-0.3550311913713813,16384,,,
380496,0.0017356633761664852,7766,0.0003,0.010385642148321494,197,1.4350617974996567,0.94,1532032,0.4218702455982566,16448,,,
381008,0.0018131399920093827,7776,0.0003,0.007844133047910873,197,1.4691382870078087,0.96,1534080,-0.030040754936635494,16512,,,
381552,0.0018503961109672673,7787,0.0003,0.009371785999974236,197,1.4508006423711777,0.95,1536256,-0.6973754139617085,16576,,,
382048,0.0018124930065823719,7797,0.0003,0.007274081428477075,197,1.4413580149412155,0.95,1538240,0.0873139277100563,16640,,,
382736,0.001829783788707573,7811,0.0003,0.008050633550737984,197,1.4253510236740112,0.95,1540992,0.7408253848552704,16704,,,
383408,0.001874968336778693,7824,0.0003,0.01261412807070883,197,1.4210717752575874,0.93,1543680,0.17899471707642078,16768,,,
384096,0.001822802958486136,7837,0.0003,0.00807567298761569,197,1.433052234351635,0.93,1546432,0.3075041347183287,16832,,,
384816,0.0018956587664433755,7851,0.0003,0.006603197994991206,197,1.4281656667590141,0.92,1549312,0.5356875583529472,16896,,,
385504,0.0018799916579155251,7865,0.0003,0.008713412928045727,197,1.4221003875136375,0.86,1552064,-0.3139723250642419,16960,,,
