rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,eval/mean_ep_length,train/value_loss,train/clip_fraction,train/loss,train/std,eval/mean_reward,eval/success_rate,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/approx_kl
,,18989056,,,,31.06,0.06276974421925843,0.08667793273925781,0.008661596104502678,0.7110859751701355,-4.131470680236816,0.96,0.0001854272,0.2,-0.0015551208328588473,0.9315226003527641,-2.15445434555877,720,0.0076717567
-9.043301,4377,19398656,4431,49.74,37,,,,,,,,,,,,,,
-7.9064283,4380,19922944,4548,47.21,38,,0.0603930036921156,0.08346576690673828,0.008912229910492897,0.7040224671363831,,,0.00017668906666666668,0.2,-0.0017098130947374556,0.934453509747982,-2.1341202662792056,740,0.007831614
,,19988480,,,,47.64,0.05944342914863228,0.0808990478515625,0.005225412547588348,0.6975153684616089,-9.176568031311035,0.86,0.00016795093333333332,0.2,-0.0015044651151697509,0.9350374415516853,-2.117950676381588,760,0.0073330365
-7.190628,4360,20447232,4688,44.09,39,,,,,,,,,,,,,,
-6.3070655,4364,20971520,4805,38.8,40,,0.05859244712301006,0.08305215835571289,0.0060251932591199875,0.6895765662193298,,,0.0001592128,0.2,-0.0017360005492832898,0.9362997785210609,-2.094809627789073,780,0.0072379634
,,20987904,,,,39.12,0.060503058868380324,0.07725372314453124,0.014300715178251266,0.6835932731628418,-7.200347423553467,0.9,0.00015047466666666664,0.2,-0.0013603734422872548,0.9371512830257416,-2.078942876914516,800,0.0070493454
-5.9865313,4344,21495808,4947,38.54,41,,,,,,,,,,,,,,
,,21987328,,,,36.24,0.059595931825424484,0.07698469161987305,0.013523872941732407,0.6776716709136963,-6.092324256896973,0.92,0.00014173653333333336,0.2,-0.0015939205309223325,0.9368061646819115,-2.0606812322279437,820,0.0070513412
-3.2782972,4325,22020096,5090,27.32,42,,,,,,,,,,,,,,
-6.6358156,4329,22544384,5206,40.75,43,,0.05951480014118715,0.0739211082458496,0.006629921495914459,0.6723928451538086,,,0.00013299840000000003,0.2,-0.0015453652379619597,0.93769845739007,-2.0430212350795047,840,0.006857693
,,22986752,,,,31.38,0.06009713509629364,0.07159538269042968,0.006060101091861725,0.6661237478256226,-4.035297393798828,0.96,0.00012426026666666667,0.2,-0.0016908396277472092,0.9385316520929337,-2.0254403796279803,860,0.006599826
-5.7060575,4311,23068672,5350,36.03,44,,,,,,,,,,,,,,
-6.325095,4315,23592960,5467,42.09,45,,0.06229140428113169,0.06981334686279297,0.01255875825881958,0.6612557768821716,,,0.00011552213333333333,0.2,-0.001539795833309654,0.9375206232070923,-2.011895382590592,880,0.0065581524
,,23986176,,,,36.92,0.058146036080142946,0.0667306900024414,-0.006531666964292526,0.6562594771385193,-5.41257381439209,0.94,0.00010678399999999999,0.2,-0.0015960066769366676,0.9397104829549789,-1.9942783980397507,900,0.0063858284
-6.3526893,4299,24117248,5609,34.62,46,,,,,,,,,,,,,,
-6.406813,4304,24641536,5725,38.98,47,,0.05723370148625691,0.06447134017944336,0.006035406142473221,0.6522873640060425,,,9.804586666666666e-05,0.2,-0.0015258399629374253,0.939326710999012,-1.9819859260111117,920,0.0060771266
,,24985600,,,,32.38,0.05726881538303132,0.06248807907104492,0.0010241847485303879,0.6481747627258301,-4.322667121887207,0.94,8.930773333333331e-05,0.2,-0.001697439015879354,0.9389133341610432,-1.9684576732455752,940,0.006004754
-5.2311373,4288,25165824,5867,35.13,48,,,,,,,,,,,,,,
-5.905562,4292,25690112,5984,37.26,49,,0.05709606521559181,0.0595698356628418,0.003600969910621643,0.6444755792617798,,,8.056960000000002e-05,0.2,-0.00164959865437595,0.9410437233746052,-1.95942036540946,960,0.005742427
,,25985024,,,,43.78,0.05836026840515842,0.05647773742675781,0.01706692948937416,0.6402623653411865,-7.873513698577881,0.88,7.183146666666668e-05,0.2,-0.0017920260945061273,0.9419978894293308,-1.9456818656413817,980,0.005608458
-5.663873,4277,26214400,6128,35.86,50,,,,,,,,,,,,,,
-5.6236143,4282,26738688,6244,33.81,51,,0.057050135863028116,0.05507316589355469,0.017878524959087372,0.6342361569404602,,,6.309333333333333e-05,0.2,-0.002037443391151328,0.94209935516119,-1.927233652502764,1000,0.005480719
,,26984448,,,,36.16,0.055577148908560046,0.05145750045776367,0.010506367310881615,0.6289850473403931,-4.390102863311768,0.92,5.435519999999999e-05,0.2,-0.0020062901129676903,0.9417482540011406,-1.9113142801914365,1020,0.005319789
-2.4659116,4256,27262976,6405,21.79,52,,,,,,,,,,,,,,
-5.5295606,4127,27787264,6732,37.8,53,,0.11776095280165463,0.045642948150634764,0.005789276212453842,0.6236289739608765,,,4.5617066666666654e-05,0.2,-0.001942858461347896,0.8861456662416458,-1.8941009862814098,1040,0.004907824
,,27983872,,,,32.54,4.5947221337206425,0.03597316741943359,-0.0010635033249855042,0.621362030506134,-4.683391571044922,0.96,3.687893333333331e-05,0.2,-0.0010881134051828668,0.18843495845794678,-1.8874323040712624,1060,0.004140077
-6.569977,3995,28311552,7086,38.02,54,,,,,,,,,,,,,,
-3.4626331,3889,28835840,7413,26.2,55,,1.2775869840972518,0.03098917007446289,0.0050585828721523285,0.6219758987426758,,,2.814080000000002e-05,0.2,-0.0013197417442938786,0.4372110366821289,-1.886851856217254,1080,0.0038048713
,,28983296,,,,54.52,1.1076352637721356,0.021677494049072266,-0.004678959026932716,0.6230043768882751,-10.295195579528809,0.84,1.940266666666668e-05,0.2,-0.001054683648919763,0.5323223173618317,-1.8897081382572651,1100,0.0032244395
-5.0272803,3779,29360128,7768,33.51,56,,,,,,,,,,,,,,
-4.9817057,3691,29884416,8096,32.08,57,,0.7556798261859512,0.015902042388916016,1.8460086584091187,0.6255207657814026,,,1.0664533333333338e-05,0.2,-0.0010581002294657083,0.6098655462265015,-1.8949511437793263,1120,0.0026910985
,,29982720,,,,41.72,0.8931544795681475,0.007184505462646484,1.1104559898376465,0.6271936893463135,-7.487947463989258,0.9,1.926399999999995e-06,0.2,-0.0006981210851336073,0.6296955049037933,-1.8999635838204996,1140,0.0017950186
-5.685656,3598,30408704,8451,37.18,58,,,,,,,,,,,,,,
